study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
robustness_cross_dataset,robustness_cross_dataset-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 17:44:41,2026-04-11 17:49:34,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9984,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,0.9199999999999996,0.336,1.0,1.0,0.5,0.0,0.0,293.0382,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-healthcaremagic-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 17:49:34,2026-04-11 17:55:25,success,healthcaremagic,healthcaremagic,ollama,llama3,llama3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.998,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.8719999999999994,0.1659999999999999,0.996,0.9839999999999999,0.22,0.0,0.0,351.0603,,"Config(LLM=llama3, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-msmarco-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 17:55:25,2026-04-11 18:00:35,success,msmarco,msmarco,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9740000000000001,0.72,0.6410256410256411,1.0,0.78125,1.0,0.9839999999999999,0.5419999999999999,1.0,1.0,0.86,0.04,0.0,297.8384,,"Config(LLM=gpt-4o-mini, Data=msmarco, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-msmarco-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:00:35,2026-04-11 18:05:50,success,msmarco,msmarco,ollama,llama3,llama3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9652000000000001,0.86,0.78125,1.0,0.8771929824561403,1.0,0.8806666666666665,0.326,0.998,0.992,0.36,0.02,0.0,314.7122,,"Config(LLM=llama3, Data=msmarco, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-nq-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:05:50,2026-04-11 18:10:51,success,nq,nq,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9798,0.76,0.6756756756756757,1.0,0.8064516129032258,1.0,0.976,0.4442222222222222,1.0,1.0,0.88,0.02,0.0,296.437,,"Config(LLM=gpt-4o-mini, Data=nq, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-nq-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:10:51,2026-04-11 18:16:46,success,nq,nq,ollama,llama3,llama3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9916,0.95,0.9245283018867925,0.98,0.9514563106796117,1.0,0.8939999999999998,0.18799999999999994,1.0,0.9839999999999999,0.5,0.0,0.02,354.8655,,"Config(LLM=llama3, Data=nq, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-fiqa-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:16:46,2026-04-11 18:21:27,success,fiqa,fiqa,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9992,0.9,0.8333333333333334,1.0,0.9090909090909091,1.0,0.9639999999999997,0.29600000000000004,1.0,1.0,0.72,0.0,0.0,280.6974,,"Config(LLM=gpt-4o-mini, Data=fiqa, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-fiqa-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:21:27,2026-04-11 18:26:53,success,fiqa,fiqa,ollama,llama3,llama3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9826,0.98,1.0,0.96,0.9795918367346939,1.0,0.8489999999999998,0.10199999999999995,0.978,0.9599999999999999,0.26,0.0,0.04,325.5915,,"Config(LLM=llama3, Data=fiqa, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-arxiv-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:26:53,2026-04-11 18:31:43,success,arxiv,arxiv,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9890000000000001,0.93,0.8771929824561403,1.0,0.9345794392523364,1.0,0.986,0.27222222222222225,1.0,1.0,0.92,0.02,0.0,289.182,,"Config(LLM=gpt-4o-mini, Data=arxiv, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-arxiv-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:31:43,2026-04-11 18:37:24,success,arxiv,arxiv,ollama,llama3,llama3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9935999999999999,0.97,0.9433962264150944,1.0,0.970873786407767,1.0,0.9359999999999998,0.1402222222222222,1.0,0.992,0.6,0.0,0.0,341.0962,,"Config(LLM=llama3, Data=arxiv, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
